Description,Certification,Grade,Designation,Qty,Price Each,Total
2019 American Silver Eagle 1oz,PCGS,MS-69,First Strike,3,$26.00,$78.00
2018 American Silver Eagle 1oz,PCGS,MS-69,First Strike,3,$29.11,$87.33
1oz SD Bullion Silver Freedom Round,,,Spot Price,3,$17.97,$53.91
1968 US Proof Set,,,,2,$11.28,$22.56
2008 S US Proof Set,,,,3,$38.99,$116.97
2019 American Eagle 1oz Silver Proof Coin W,,,,3,$55.95,$167.85
1969 Proof Set,,,,2,$8.54,$17.08
1970 Proof Set,,,,2,$11.39,$22.78
1971 Proof Set,,,,2,$3.79,$7.58
1972 Proof Set,,,,2,$4.27,$8.54
1974 Proof Set,,,,1,$11.99,$11.99
1976 Proof Set,,,,2,$9.99,$19.98
,,,,,,
Grand Total,,,,,,$614.58
